Country,Year,Emissions,GDP_per_capita,Renewable_Share,Energy_per_capita,Population,Emissions_per_GDP,Emissions_per_capita,Global_Temperature
China,1970,2035.0966345133,,3.0095923,2871.2454,,,,0.0258
China,1971,2088.1108498926,,3.0704048,3320.4941,,,,-0.0808
China,1972,2163.6981185997,,3.227597,3498.7197,,,,0.0083
China,1973,2205.6648241606,,3.417015,3614.6829,,,,0.16
China,1974,2227.9153571195,,3.7493546,3654.5251,,,,-0.0708
China,1975,2409.9806013792,,3.503824,4021.7922,,,,-0.0133
China,1976,2470.7514655646,,3.3725686,4169.278,,,,-0.0992
China,1977,2639.7120369479,,3.2287142,4482.533,,,,0.1775
China,1978,2826.9626694746,,2.7594638,4849.5903,,,,0.0683
China,1979,2868.9423582888,,3.008899,4928.0503,,,,0.1658
China,1980,2843.2881997559,274.623,3.566198,4914.158,981235000.0,,,0.2558
China,1981,2808.234267818,311.621,4.066497,4776.941,993885000.0,,,0.3225
China,1982,2889.1444433112,355.043,4.4212723,4910.6587,1008630000.0,,,0.1367
China,1983,2998.797431939,403.419,4.8234906,5147.26,1023310000.0,,,0.3117
China,1984,3181.0933063203,475.288,4.515455,5444.6426,1036825000.0,,,0.155
China,1985,3187.6011272246,548.661,4.441829,5800.9233,1051040000.0,,,0.1158
China,1986,3322.8422773005,600.133,4.3385277,5979.108,1066790000.0,,,0.18
China,1987,3502.5359316812,675.691,4.2555475,6336.5337,1084035000.0,,,0.3192
China,1988,3687.8822082878,765.774,4.3230724,6691.621,1101630000.0,,,0.3858
China,1989,3806.1678877472,816.88,4.4680266,6907.9116,1118650000.0,,,0.2717
China,1990,3876.3877743805,867.858,4.723668,6880.6626,1135185000.0,2.0751134703403,3.3062286446164,0.445
China,1991,4011.1592752804,965.342,4.4247785,7122.351,1150780000.0,1.9652249596457,3.3730463641168,0.4033
China,1992,4130.2262398851,1115.328,4.4127026,7411.3945,1164970000.0,1.7715639222121,3.4304204650209,0.22
China,1993,4332.0553842382,1285.465,4.75786,7908.6753,1178440000.0,1.6316060454298,3.5592380306444,0.23
China,1994,4518.7825893655,1467.465,4.952474,8323.468,1191835000.0,1.5056459917852,3.6768261656852,0.3133
China,1995,4932.4232426391,1645.122,5.5538197,8498.712,1204855000.0,1.4812179837603,3.9779531611523,0.4442
China,1996,4948.0219112236,1822.365,5.1431327,8880.126,1217550000.0,1.3517719597469,3.9584808646727,0.3283
China,1997,4975.088723659,2004.951,5.361735,8871.482,1230075000.0,1.2442388572117,3.9513996232608,0.4633
China,1998,5071.2448222095,2166.873,5.4277787,8822.785,1241935000.0,1.1760171620012,4.0011715128207,0.605
China,1999,5019.6593117036,2347.032,5.1882854,9069.433,1252735000.0,1.0812155598505,3.9357220907031,0.38
China,2000,5242.7358101886,2583.885,5.656926,9334.936,1262645000.0,1.0408926338959,4.0856731687879,0.3917
China,2001,5436.069915505,2842.035,6.6186247,9797.812,1271850000.0,0.99623378877723,4.2109392500852,0.5325
China,2002,5766.5843118312,3129.014,6.2804885,10602.087,1280400000.0,0.96835873787264,4.4404453177001,0.6267
China,2003,6473.6746499798,3489.524,5.30111,12273.32,1288400000.0,0.98792890012666,4.9555817398073,0.6167
China,2004,7333.7613118833,3922.685,5.60094,14272.745,1296075000.0,1.0163903811218,5.5812066208654,0.5325
China,2005,8191.0859644804,4480.004,5.5544806,16114.158,1303720000.0,1.0190867444746,6.1977618108688,0.675
China,2006,8976.5390565554,5177.731,5.577841,17552.79,1311020000.0,0.9907724720759,6.7532888381485,0.6375
China,2007,9577.6825357923,6044.342,5.7195926,18955.223,1317885000.0,0.92542663393426,7.1646338538243,0.6608
China,2008,9794.6286592605,6717.527,7.2738767,19561.799,1324655000.0,0.86309421766,7.2853934479259,0.5433
China,2009,10409.148340273,7361.46,6.9355316,20281.068,1331260000.0,0.838442272408,7.6986756161096,0.655
China,2010,11262.908311881,8202.144,7.6156235,21551.547,1337705000.0,0.81999755570459,8.2830119373133,0.7233
China,2011,12249.432855392,9114.835,7.083536,23090.885,1345035000.0,0.81407104825264,8.9576687449846,0.6058
China,2012,12601.747102116,9939.057,8.521457,23873.2,1354190000.0,0.77642878450336,9.1635740998517,0.6433
China,2013,13142.524852765,10829.633,8.958172,24600.36,1363240000.0,0.75139327997178,9.5043534106879,0.6733
China,2014,13295.500029221,11753.562,10.227447,25071.705,1371860000.0,0.70759495105178,9.5643510436018,0.7458
China,2015,13118.895551577,12632.798,10.835855,25210.303,1379860000.0,0.65226763901675,9.3905610842837,0.8975
China,2016,13105.715333499,13537.583,11.725009,25164.398,1387790000.0,0.60984545725462,9.3378805368717,1.0133
China,2017,13362.31818392,14655.355,12.291223,25987.383,1396215000.0,0.5813952103177,9.4800486576422,0.92
China,2018,13955.693168511,15915.783,12.862764,27104.984,1402760000.0,0.56881899345601,9.8623605724483,0.8475
China,2019,14275.53131678,17306.842,13.459068,28264.688,1407745000.0,0.54917649948945,10.052751989434,0.9758
China,2020,14497.89871659,18091.31,14.080283,29119.828,1411100000.0,0.54551873208834,10.177190245227,1.0092
China,2021,15175.619086802,20333.063,14.896213,30750.547,1412360000.0,0.52653542635746,10.623613272011,0.8483
China,2022,15159.641989692,22438.863,15.9457655,31220.076,1412175000.0,0.51071537086041,10.587451192298,0.8933
China,2023,15943.986552905,24502.814,16.164698,33266.83,1410710000.0,0.51058865803826,11.113301228225,1.1692
Germany,1970,1325.8315254815,,1.5171293,46120.89,,,,0.0258
Germany,1971,1318.1563674026,,1.1796807,46407.992,,,,-0.0808
Germany,1972,1342.3107806565,,1.1219958,47940.64,,,,0.0083
Germany,1973,1397.2549486869,,1.213714,50686.184,,,,0.16
Germany,1974,1363.4728689556,,1.4188614,49834.656,,,,-0.0708
Germany,1975,1299.1766879967,,1.4353293,47948.027,,,,-0.0133
Germany,1976,1362.3050369689,,1.1208524,51259.42,,,,-0.0992
Germany,1977,1338.2257296425,,1.3967295,51228.902,,,,0.1775
Germany,1978,1379.966380336,,1.4089609,53184.246,,,,0.0683
Germany,1979,1433.4600778146,,1.3454018,56251.914,,,,0.1658
Germany,1980,1379.8040859052,12003.464,1.4781907,54498.168,78288576.0,,,0.2558
Germany,1981,1342.8176374461,13128.892,1.5739785,52870.703,78407907.0,,,0.3225
Germany,1982,1292.2227736808,13840.176,1.6178513,51056.168,78333366.0,,,0.1367
Germany,1983,1305.1323813698,14656.853,1.4992614,51807.598,78128282.0,,,0.3117
Germany,1984,1322.2004375429,15678.333,1.4371842,53720.09,77858685.0,,,0.155
Germany,1985,1322.3881633668,16569.585,1.3216146,55260.105,77684873.0,,,0.1158
Germany,1986,1311.0628922872,17299.89,1.4105302,54684.992,77720436.0,,,0.18
Germany,1987,1299.4250687174,17985.846,1.5094992,54951.07,77839920.0,,,0.3192
Germany,1988,1291.5567055146,19198.78,1.5009328,54866.223,78144619.0,,,0.3858
Germany,1989,1278.614413174,20527.236,1.3991727,53983.547,78751283.0,,,0.2717
Germany,1990,1235.8734753387,22090.714,1.3369406,52823.883,79433029.0,0.36546859219264,15.620576722942,0.445
Germany,1991,1210.5872338878,23675.121,1.2709582,51259.914,80013896.0,0.34059266105853,15.215167994367,0.4033
Germany,1992,1147.1962393242,24540.969,1.520455,49988.61,80624598.0,0.31666815093547,14.331676448404,0.22
Germany,1993,1133.7637480124,24738.95,1.5835444,49538.95,81156363.0,0.31604760211319,14.080505960777,0.23
Germany,1994,1119.9064759889,25859.594,1.7396334,48888.086,81438348.0,0.30489206449755,13.837793626533,0.3133
Germany,1995,1111.8679820974,26747.917,1.8891901,48996.98,81678051.0,0.29810049395986,13.686112388356,0.4442
Germany,1996,1139.1671556428,27464.266,1.6823944,50501.87,81914831.0,0.30297814842258,13.990162338739,0.3283
Germany,1997,1100.8719221226,28441.571,1.8035166,49771.383,82034771.0,0.28763803539311,13.50764752009,0.4633
Germany,1998,1080.8582149307,29389.265,1.9705647,49305.88,82047195.0,0.27683357156809,13.262194167927,0.605
Germany,1999,1039.4905258402,30447.833,2.2275858,48598.668,82100243.0,0.26130677829032,12.757365170054,0.38
Germany,2000,1035.3782513489,32020.94,2.8871114,48903.7,82211508.0,0.25290710906678,12.705929615831,0.3917
Germany,2001,1043.9911077745,33251.964,2.9411676,49841.387,82349925.0,0.25079391153133,12.804082473889,0.5325
Germany,2002,1024.4592866869,33666.354,3.5386324,49257.79,82488495.0,0.2465900421016,12.552817501944,0.6267
Germany,2003,1026.9516653382,34159.366,3.6419902,49300.902,82534176.0,0.24893278415083,12.571865183822,0.6167
Germany,2004,1010.2559734569,35529.052,4.516598,49342.406,82516260.0,0.24204155176008,12.363058426434,0.5325
Germany,2005,983.69810891969,37021.162,5.208511,48793.613,82469422.0,0.2339667507563,12.044614367362,0.675
Germany,2006,990.36925343432,39716.227,6.0263686,50043.066,82376451.0,0.22689415905934,12.145749265816,0.6375
Germany,2007,962.41125376581,42063.619,7.6538005,47958.113,82266372.0,0.21411590169611,11.831300871796,0.6608
Germany,2008,961.55460639232,43386.427,7.817749,48446.047,82110097.0,0.21189141451991,11.851891281772,0.5433
Germany,2009,896.29659874069,41376.37,8.454232,45436.254,81902307.0,0.20943587597295,11.070091480094,0.655
Germany,2010,942.52635004742,43723.628,8.792499,47305.836,81776930.0,0.2114019390334,11.651260032133,0.7233
Germany,2011,913.72119325713,46310.615,10.566928,45571.484,80274983.0,0.19720064254415,11.289707579721,0.6058
Germany,2012,924.7270490013,47305.297,11.899734,46132.684,80425823.0,0.19874420269948,11.407060513522,0.6433
Germany,2013,941.91487547532,48164.52,12.063284,47361.52,80645605.0,0.20155625240451,11.590644390708,0.6733
Germany,2014,902.5303390662,49859.442,13.335284,45327.605,80982500.0,0.18895351735502,11.07539160245,0.7458
Germany,2015,907.52011941403,50714.424,14.878483,46066.906,81686611.0,0.18720520302727,11.10689700878,0.8975
Germany,2016,910.0183072112,51947.703,14.665688,46658.38,82348669.0,0.18362568211324,11.109340658163,1.0133
Germany,2017,893.89041919691,54110.278,16.26483,47057.95,82657002.0,0.17566317891398,10.885942007557,0.92
Germany,2018,861.88918243504,56273.259,17.168362,45691.598,82905782.0,0.16772863694241,10.473362207096,0.8475
Germany,2019,808.78970788765,59270.69,18.82998,44436.824,83092962.0,0.15572044184544,9.8108085928935,0.9758
Germany,2020,749.79971307093,58685.778,21.123863,41328.74,83160871.0,0.15010704418139,9.0840274443734,1.0092
Germany,2021,783.48862532211,62950.306,19.06692,42496.61,83196078.0,0.15204112844403,9.4864829316153,0.8483
Germany,2022,761.98352337759,67869.332,21.36138,40938.07,83797985.0,0.14524450253225,9.2258756704959,0.8933
Germany,2023,681.81032815187,69531.553,24.394201,38052.27,83280000.0,0.13035990517317,8.2587616666489,1.1692
India,1970,792.81136324023,,11.78412,1369.9354,,,,0.0258
India,1971,796.80961454258,,12.426771,1393.6621,,,,-0.0808
India,1972,807.24941840224,,11.463117,1434.1183,,,,0.0083
India,1973,814.63371327107,,11.957463,1431.4932,,,,0.16
India,1974,836.01464341162,,10.860853,1482.6228,,,,-0.0708
India,1975,866.62533893952,,12.067703,1558.8988,,,,-0.0133
India,1976,889.05948835615,,12.0367985,1599.2654,,,,-0.0992
India,1977,907.69883342561,,12.415875,1654.6627,,,,0.1775
India,1978,911.03592403572,,14.818278,1682.4658,,,,0.0683
India,1979,938.45517149186,,13.540278,1736.4575,,,,0.1658
India,1980,962.24501299011,525.894,13.453118,1748.7792,687354025.0,,,0.2558
India,1981,1010.6462631888,596.496,12.948172,1892.7515,703696250.0,,,0.3225
India,1982,1033.2169234843,640.717,11.035111,1832.2887,720313473.0,,,0.1367
India,1983,1081.5372244943,698.386,10.110921,1883.8833,737372681.0,,,0.3117
India,1984,1134.034827447,734.429,10.576084,1967.3982,754875449.0,,,0.155
India,1985,1162.6862376478,779.732,9.670784,2030.4757,772647793.0,,,0.1158
India,1986,1223.9678354689,815.005,9.167619,2125.1223,790689978.0,,,0.18
India,1987,1256.4227707835,849.33,8.030696,2210.1482,808931270.0,,,0.3192
India,1988,1323.812806912,943.112,8.2299185,2353.6423,827342990.0,,,0.3858
India,1989,1379.9932833969,1016.101,8.742306,2515.7063,846039529.0,,,0.2717
India,1990,1383.0638413385,1088.893,8.54283,2643.1104,864972221.0,0.72576594189711,1.589485562941,0.445
India,1991,1439.7756983584,1113.957,9.029866,2730.9583,883927600.0,0.74762448910375,1.6212686132711,0.4033
India,1992,1470.6195638281,1177.137,8.140624,2812.7422,902957070.0,0.72395076717077,1.623162778598,0.22
India,1993,1501.711867648,1236.697,8.035936,2824.2505,922118387.0,0.70572915055299,1.6251272838371,0.23
India,1994,1554.5607536724,1320.264,8.667226,2916.78,941163767.0,0.68495484919325,1.6499195011616,0.3133
India,1995,1616.6090610813,1421.442,7.6867676,3072.884,960301044.0,0.66214019251796,1.6831209517309,0.4442
India,1996,1662.7697709175,1526.662,6.7896338,3134.0286,979678458.0,0.63324034522802,1.6986225980955,0.3283
India,1997,1717.4416373267,1585.165,6.5708995,3244.4333,999133762.0,0.62860395245545,1.7219099937605,0.4633
India,1998,1746.4987636662,1670.287,7.3818192,3377.1096,1018665080.0,0.60200849571443,1.7190456053488,0.605
India,1999,1813.9303045334,1809.978,7.1308775,3408.3252,1038225823.0,0.5744383627092,1.7533689413009,0.38
India,2000,1845.4521973679,1887.37,6.398104,3515.7441,1057922733.0,0.56280353245762,1.7524829755167,0.3917
India,2001,1869.3095509585,1986.707,6.0226192,3467.0754,1077898575.0,0.54384438775655,1.7446051731796,0.5325
India,2002,1896.9394985747,2057.444,5.529273,3524.3215,1097600380.0,0.53165869395714,1.7406148765149,0.6267
India,2003,1947.2793529787,2224.294,5.445053,3587.4846,1116803006.0,0.50599444329857,1.7574247565307,0.6167
India,2004,2049.4915056878,2424.178,7.278265,3830.6672,1135991513.0,0.49345761697279,1.819926035562,0.5325
India,2005,2120.8928852555,2655.356,6.731385,3991.22,1154676322.0,0.47315858853925,1.8537328997443,0.675
India,2006,2225.1031781091,2913.145,7.539817,4141.057,1172878890.0,0.45937804904991,1.9149238180598,0.6375
India,2007,2368.3281024425,3174.395,7.681195,4428.8447,1190676021.0,0.4541551986799,2.0076021484153,0.6608
India,2008,2480.1384860865,3288.308,7.093329,4621.1714,1207930964.0,0.46135552312119,2.0717023648552,0.5433
India,2009,2628.271573572,3519.405,6.352798,4896.7437,1225524753.0,0.45327525321304,2.1644869539493,0.655
India,2010,2747.617773418,3812.002,6.450954,5038.8984,1243481564.0,0.43674507665604,2.2320572011065,0.7233
India,2011,2874.4818432957,4039.199,7.426478,5241.9365,1261224954.0,0.43415519270576,2.3046741952597,0.6058
India,2012,3056.212704392,4281.486,6.692072,5452.142,1278674502.0,0.43771972366948,2.419670093021,0.6433
India,2013,3095.9141407354,4572.709,7.3276463,5560.02,1295829511.0,0.41678927307263,2.4214070053305,0.6733
India,2014,3270.3702489224,4935.502,7.3362403,5862.7075,1312277191.0,0.40990093744402,2.5276075069346,0.7458
India,2015,3302.4875519042,5316.103,7.1391196,5994.3154,1328024498.0,0.38327852522476,2.5228123844805,0.8975
India,2016,3355.6479276836,5741.261,6.973517,6189.1133,1343944296.0,0.35974642304459,2.534151904728,1.0133
India,2017,3498.4020720892,6169.499,7.4859,6351.181,1359657400.0,0.35118611611087,2.612346415037,0.92
India,2018,3661.865795595,6742.708,7.9542136,6638.485,1374659064.0,0.34530960763907,2.7043763388954,0.8475
India,2019,3642.4104433599,7181.522,8.904294,6736.5117,1389030312.0,0.33067318704858,2.6611460625321,0.9758
India,2020,3433.6189835655,6997.36,9.739235,6322.2974,1402617695.0,0.33083283963465,2.4823775025071,1.0092
India,2021,3679.8617761938,8087.994,9.488208,6809.693,1414203896.0,0.32323813631806,2.6333198868158,0.8483
India,2022,3897.2089896012,9207.162,10.273168,7129.11,1425423212.0,0.31997320725773,2.7612070082868,0.8933
India,2023,4133.5543557465,10233.445,9.676426,7586.1997,1438069596.0,0.31545397254504,2.900418308529,1.1692
Indonesia,1970,206.33255085151,,11.57067,928.20734,,,,0.0258
Indonesia,1971,208.9691030724,,4.00115,861.0434,,,,-0.0808
Indonesia,1972,215.297055112,,3.3738363,889.41034,,,,0.0083
Indonesia,1973,230.63659914304,,3.7743795,977.2646,,,,0.16
Indonesia,1974,237.27106781751,,3.9022937,1020.7835,,,,-0.0708
Indonesia,1975,236.96780789492,,3.3421185,1218.8125,,,,-0.0133
Indonesia,1976,244.67468200262,,1.86724,1248.6306,,,,-0.0992
Indonesia,1977,269.75426816335,,2.34783,1610.9282,,,,0.1775
Indonesia,1978,287.21722975999,,1.49063,1768.873,,,,0.0683
Indonesia,1979,292.52741798744,,1.4562845,1965.9764,,,,0.1658
Indonesia,1980,296.26307647049,1108.676,1.2272301,2062.4712,148950540.0,,,0.2558
Indonesia,1981,305.86660734353,1280.542,1.1406815,2160.0718,152485035.0,,,0.3225
Indonesia,1982,296.21775335664,1363.269,1.2204517,2152.163,156052152.0,,,0.1367
Indonesia,1983,303.82117424374,1447.441,1.7323705,2228.0264,159651381.0,,,0.3117
Indonesia,1984,316.39658463107,1582.002,1.7180939,2399.01,163251124.0,,,0.155
Indonesia,1985,323.54187733058,1662.898,1.9808587,2490.9849,166776185.0,,,0.1158
Indonesia,1986,339.563160684,1783.078,2.9868257,2607.531,170175065.0,,,0.18
Indonesia,1987,340.73795209151,1909.607,2.9112308,2699.753,173511154.0,,,0.3192
Indonesia,1988,352.44819305454,2073.928,3.0289974,2796.916,176855065.0,,,0.3858
Indonesia,1989,364.11363592783,2305.48,3.4081194,3044.827,180201630.0,,,0.2717
Indonesia,1990,397.09882873098,2556.535,3.7318628,3294.7917,183501098.0,0.44351187575063,2.1886320244578,0.445
Indonesia,1991,415.91579206801,2832.017,3.81247,3522.5188,186778238.0,0.43504997980031,2.2528696971033,0.4033
Indonesia,1992,435.41575965211,3035.156,4.4085426,3801.7942,190043744.0,0.42765981798442,2.3189275990294,0.22
Indonesia,1993,452.58457757906,3299.565,3.8476534,3983.7983,193305168.0,0.41740638986208,2.3710424223547,0.23
Indonesia,1994,469.85394489742,3565.002,3.5212233,4102.256,196591828.0,0.40295106189009,2.4226143751802,0.3133
Indonesia,1995,500.40928946745,3874.674,3.5392694,4392.264,199888057.0,0.39655847062002,2.5406903479101,0.4442
Indonesia,1996,524.04910422833,4205.51,3.5088153,4633.9023,203204348.0,0.38517831207957,2.6213595988401,0.3283
Indonesia,1997,547.17341010393,4427.95,2.4772785,4948.9565,206536095.0,0.38412152839245,2.6977478729401,0.4633
Indonesia,1998,545.82796357302,3845.525,4.0149045,4789.7163,209826788.0,0.44107582320894,2.6533082675777,0.605
Indonesia,1999,558.10104863858,3885.913,3.852458,5151.666,213004668.0,0.4474536067062,2.6752937187918,0.38
Indonesia,2000,562.89331215218,4124.152,3.733831,5435.1587,216077790.0,0.43013293843582,2.6609308505511,0.3917
Indonesia,2001,586.90539722919,4309.204,4.1125903,5740.15,219097902.0,0.43271583235945,2.7360664097955,0.5325
Indonesia,2002,595.47049648977,4508.776,3.6303015,5816.885,222088495.0,0.42012722027768,2.7376946898472,0.6267
Indonesia,2003,626.44279303966,4749.843,3.1624913,6226.767,225048008.0,0.42181504446833,2.8404307192766,0.6167
Indonesia,2004,640.79131337395,5050.913,3.3661623,6089.4717,227926649.0,0.41080931693139,2.8656007574356,0.5325
